crop,year,season,state,area,production,rainfall_mm,fertilizer,pesticide,yield
Coconut,1997,Whole Year,Kerala,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054286
Coconut,1997,Whole Year,West Bengal,24273.0,306202300,1852.9,2310061.41,7524.63,13003.78778
Coconut,1998,Whole Year,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.65
Coconut,1998,Whole Year,Kerala,882288.0,5132000000,3151.5,87170054.4,255863.52,5304.749286
Coconut,1998,Whole Year,West Bengal,24616.0,318174400,2152.5,2432060.8,7138.64,12448.06222
Coconut,1999,Whole Year,Goa,24975.0,121580000,3879.3,2650596.75,6743.25,4868.07
Coconut,1999,Whole Year,Puducherry,2214.0,27816000,1434.5875,234971.82,597.78,12812.4475
Coconut,1999,Whole Year,West Bengal,24216.0,324305700,2318.1,2570044.08,6538.32,13592.12778
Coconut,2000,Whole Year,Goa,25025.0,125120000,3886.9,2456704.25,6506.5,4999.8
Coconut,2000,Whole Year,Kerala,925783.0,5536000000,2412.6,90884117.11,240703.58,5617.002143
Coconut,2000,Whole Year,Puducherry,2233.0,24698000,1434.5875,219213.61,580.58,11937.4475
Coconut,2000,Whole Year,West Bengal,24511.0,330524800,1907.7,2406244.87,6372.86,13234.92556
Coconut,2001,Whole Year,Assam,21067.0,163597000,1824.7,2151572.71,5477.42,7700.721304
Coconut,2001,Whole Year,Goa,25025.0,125120000,2530.6,2555803.25,6506.5,4999.8
Coconut,2001,Whole Year,Karnataka,369828.0,1503638000,1002.9,37770533.64,96155.28,4164.951481
Coconut,2001,Whole Year,Kerala,905718.0,5479000000,2946.7,92500979.34,235486.68,5636.355
Coconut,2001,Whole Year,Puducherry,2282.0,22204000,1434.5875,233060.66,593.32,9725.08
Coconut,2002,Whole Year,Goa,25068.0,122020000,2516.3,2373187.56,6267.0,4867.56
Coconut,2002,Whole Year,Kerala,899198.0,5709000000,2511.2,85127074.66,224799.5,5969.78
Coconut,2002,Whole Year,Tamil Nadu,345825.0,2860700000,315.9,32739252.75,86456.25,8497.531111
Coconut,2002,Whole Year,West Bengal,24976.0,324194500,1629.1,2364477.92,6244.0,12229.29167
Coconut,2003,Whole Year,Assam,21309.0,154284000,2213.7,2109164.82,5114.16,6763.011739
Coconut,2003,Whole Year,Goa,25110.0,122220000,3011.6,2485387.8,6026.4,4867.38
Coconut,2003,Whole Year,Karnataka,375957.0,1529139000,867.6,37212223.86,90229.68,4165.193333
Coconut,2003,Whole Year,Kerala,898498.0,5876000000,2386.0,88933332.04,215639.52,6097.778571
Coconut,2003,Whole Year,Tamil Nadu,352710.0,2560500000,345.6,34911235.8,84650.4,7781.805714
Coconut,2003,Whole Year,West Bengal,24443.0,317488500,1526.7,2419368.14,5866.32,12370.06944
Coconut,2004,Whole Year,Karnataka,383206.0,1551729000,1117.7,41516538.04,80473.26,4165.395185
Coconut,2004,Whole Year,Kerala,899267.0,6001000000,2880.2,97426586.78,188846.07,6112.145714
Coconut,2004,Whole Year,Tamil Nadu,357056.0,4097000000,1034.0,38683447.04,74981.76,10877.70276
Sugarcane,2004,Whole Year,Tamil Nadu,222188.0,24457244,1034.0,24071847.92,46659.48,104.66
Coconut,2005,Whole Year,Karnataka,395885.0,1606890000,1316.2,47474529.2,83135.85,4165.660741
Coconut,2005,Whole Year,Kerala,897833.0,6326000000,3030.9,107668133.4,188544.93,6500.859286
Coconut,2005,Whole Year,West Bengal,24884.0,323525800,1650.1,2984089.28,5225.64,11972.035
Coconut,2006,Whole Year,Andhra Pradesh,105043.0,1326398065,845.2,13415041.53,23109.46,11710.48222
Coconut,2006,Whole Year,Karnataka,403671.0,1635839000,1146.3,51552823.41,88807.62,4164.715926
Coconut,2006,Whole Year,Kerala,872943.0,6054000000,3429.7,111483550.5,192047.46,6522.32
Coconut,2006,Whole Year,Tamil Nadu,374604.0,5429900000,927.9,47840676.84,82412.88,13584.69138
Sugarcane,2006,Whole Year,Tamil Nadu,391201.0,48037332,927.9,49960279.71,86064.22,118.1746429
Coconut,2006,Whole Year,West Bengal,25068.0,359065200,1631.4,3201434.28,5514.96,13259.37833
Coconut,2007,Whole Year,Assam,18812.0,147079000,2154.1,2509520.8,3009.92,7202.371852
Coconut,2007,Whole Year,Karnataka,405328.0,2063855000,1323.3,54070755.2,64852.48,5079.793793
Coconut,2007,Whole Year,Kerala,818812.0,5641000000,3489.6,109229520.8,131009.92,6390.165714
Coconut,2007,Whole Year,Tamil Nadu,383366.0,5438500000,1067.2,51141024.4,61338.56,13190.09759
Sugarcane,2007,Whole Year,Tamil Nadu,354022.0,38070965,1067.2,47226534.8,56643.52,104.9803571
Coconut,2007,Whole Year,West Bengal,28644.0,355531900,2007.5,3821109.6,4583.04,12380.47722
Coconut,2008,Whole Year,Andhra Pradesh,106616.0,970056617,944.6,15250352.64,9595.44,9132.568235
Coconut,2008,Whole Year,Karnataka,418581.0,2867660000,1164.1,59873826.24,37672.29,6801.366552
Coconut,2008,Whole Year,Kerala,787769.0,5802000000,2524.8,112682477.8,70899.21,6765.202857
Coconut,2008,Whole Year,Tamil Nadu,389429.0,5362000000,1201.9,55703924.16,35048.61,13834.07258
Sugarcane,2008,Whole Year,Tamil Nadu,308800.0,32798888,1201.9,44170752.0,27792.0,111.4553333
Coconut,2008,Whole Year,West Bengal,28757.0,357235500,1560.1,4113401.28,2588.13,12255.46667
Coconut,2009,Whole Year,Andhra Pradesh,104541.0,1149330226,711.0,16289578.62,17771.97,10004.87412
Coconut,2009,Whole Year,Assam,20368.0,185962000,1727.1,3173741.76,3462.56,8446.091481
Coconut,2009,Whole Year,Karnataka,429860.0,3056353000,1321.0,66980785.2,73076.2,7084.002414
Coconut,2009,Whole Year,Kerala,778618.0,5667000000,2821.5,121324256.8,132365.06,6728.865
Coconut,2009,Whole Year,Tamil Nadu,400466.0,5547100000,928.5,62400612.12,68079.22,14134.65935
Coconut,2010,Whole Year,Puducherry,2131.0,24464000,1434.5875,353980.41,511.44,11567.6575
Coconut,2010,Whole Year,Andhra Pradesh,103945.0,1220268000,1297.0,17266303.95,24946.8,11116.99833
Coconut,2010,Whole Year,Karnataka,440741.0,4213360000,1317.7,73211487.51,105777.84,9678.503667
Coconut,2010,Whole Year,Kerala,770473.13,5286561000,3131.8,127983291.6,184913.5512,6501.544286
Sugarcane,2011,Kharif,Puducherry,1949.0,287785,1434.5875,326496.48,643.17,147.66
Coconut,2011,Whole Year,Andhra Pradesh,103967.0,1430853709,861.9,17416551.84,34309.11,12604.71833
Coconut,2011,Whole Year,Karnataka,443753.0,4411600000,1178.986364,74337502.56,146438.49,9984.488333
Coconut,2011,Whole Year,Kerala,820866.94,5940564000,3035.1,137511629.8,270886.0902,6884.550714
Sugarcane,2011,Whole Year,Tamil Nadu,346350.0,38974842,926.5,58020552.0,114295.5,113.736
Coconut,2012,Whole Year,Assam,20233.0,136640000,2167.5,3051136.4,6272.23,6245.638519
Coconut,2012,Whole Year,Karnataka,441048.0,4342441000,956.2,66510038.4,136724.88,9923.938333
Coconut,2012,Whole Year,Kerala,798162.0,5799000000,2187.6,120362829.6,247430.22,6706.261429
Coconut,2013,Whole Year,Assam,21141.0,146808000,1797.7,3054663.09,5708.07,6475.464074
Coconut,2013,Whole Year,Goa,25750.0,128100000,3642.6,3720617.5,6952.5,4972.855
Coconut,2013,Whole Year,Karnataka,430774.0,3417792000,1235.6,62242535.26,116308.98,8039.727
Coconut,2013,Whole Year,Kerala,808647.0,5921000000,3255.4,116841405.0,218334.69,6785.354286
Coconut,2014,Whole Year,Assam,20340.0,139518000,1899.0,3070526.4,6712.2,6784.791481
Coconut,2014,Whole Year,Goa,25786.0,127800000,3491.2,3892654.56,8509.38,4955.305
Coconut,2014,Whole Year,Karnataka,440514.0,3931007000,1238.5,66499993.44,145369.62,9449.426667
Coconut,2014,Whole Year,Kerala,793856.0,5947000000,3046.4,119840501.8,261972.48,6883.315
Coconut,2014,Whole Year,Tamil Nadu,427841.0,4986500000,911.3,64586877.36,141187.53,10713.87226
Coconut,2015,Whole Year,Andhra Pradesh,103948.0,1427745000,940.7,16414428.68,34302.84,12616.92333
Sugarcane,2015,Kharif,Puducherry,1821.0,213968,1980.6,287554.11,600.93,117.5
Coconut,2015,Whole Year,Assam,20602.0,154656000,2155.3,3253261.82,6798.66,7708.538889
Coconut,2015,Whole Year,Goa,25818.0,129400000,2587.1,4076920.38,8519.94,5011.155
Coconut,2015,Whole Year,Karnataka,441100.0,3688825000,1024.9,69654101.0,145563.0,8706.411724
Coconut,2016,Whole Year,Andhra Pradesh,102548.0,1415300000,890.0,15715481.0,35891.8,13934.1225
Coconut,2016,Whole Year,Puducherry,1930.0,21737000,1391.3,295772.5,675.5,10804.615
Sugarcane,2016,Kharif,Puducherry,1677.0,209625,1391.3,257000.25,586.95,125.0
Coconut,2016,Whole Year,Assam,20041.0,161658000,2296.8,3071283.25,7014.35,8735.670741
Coconut,2016,Whole Year,Goa,25913.0,132160000,3266.9,3971167.25,9069.55,5087.315
Coconut,2016,Whole Year,Karnataka,437099.0,3417203000,1147.2,66985421.75,152984.65,7996.762143
Coconut,2016,Whole Year,Kerala,781496.0,5384000000,2924.3,119764262.0,273523.6,6418.719286
Coconut,2016,Whole Year,Tamil Nadu,435621.0,4706400000,912.4,66758918.25,152467.35,10719.08742
Banana,2017,Whole Year,Andhra Pradesh,55130.0,5961326,868.2,8679667.2,20949.4,116.2230769
Coconut,2017,Whole Year,Andhra Pradesh,103968.0,1397800000,868.2,16368721.92,39507.84,12746.54
Coconut,2017,Whole Year,Puducherry,1910.0,20895000,1582.4,300710.4,725.8,11820.71
Sugarcane,2017,Kharif,Puducherry,1445.0,180625,1582.4,227500.8,549.1,125.0
Coconut,2017,Whole Year,Assam,19917.0,178353000,2098.563636,3135732.48,7568.46,9156.942222
Coconut,2017,Whole Year,Goa,26169.0,131600000,2772.5,4120047.36,9944.22,5027.095
Coconut,2017,Whole Year,Karnataka,446607.0,3531305000,1111.7,70313806.08,169710.66,8182.769667
Coconut,2017,Whole Year,Kerala,760443.0,5230000000,2664.8,119724145.9,288968.34,6400.547143
Coconut,2017,Whole Year,Tamil Nadu,436024.0,4176500000,970.9,68647618.56,165689.12,9387.334516
Coconut,2018,Whole Year,Andhra Pradesh,104530.0,1571100000,1220.5,16954766.0,36585.5,15636.63231
Sugarcane,2018,Kharif,Puducherry,1444.0,187720,1693.9,234216.8,505.4,130.0
Coconut,2018,Whole Year,Goa,26381.0,132750000,4406.0,4278998.2,9233.35,5013.69
Coconut,2018,Whole Year,Karnataka,610234.0,4321762000,1419.1,98979954.8,213581.9,7502.488
Coconut,2018,Whole Year,Kerala,760946.81,5299000000,2989.7,123425572.6,266331.3835,6426.82
Coconut,2018,Whole Year,Tamil Nadu,439745.0,5214000000,986.2,71326639.0,153910.75,11263.83
Coconut,2019,Whole Year,Andhra Pradesh,104027.0,1912224000,899.2,17867677.52,38489.99,16935.05846
Coconut,2019,Whole Year,Puducherry,1857.0,18661000,1317.0,318958.32,687.09,9474.625
Sugarcane,2019,Kharif,Puducherry,1308.0,183120,1317.0,224662.08,483.96,140.0
Coconut,2019,Whole Year,Assam,20800.0,148629000,2084.7,3572608.0,7696.0,7582.287813
Coconut,2019,Whole Year,Goa,26542.0,167000000,4489.5,4558853.92,9820.54,6359.69
Coconut,2019,Whole Year,Karnataka,610324.0,5030774000,1422.3,104829250.2,225819.88,8344.984
Coconut,2019,Whole Year,Kerala,760776.0,4814000000,3119.2,130670885.8,281487.12,5882.037143
Maize,1997,Autumn,Maharashtra,21.0,19695,1156.1,1998.57,6.51,989.87
Sugarcane,1998,Whole Year,Tamil Nadu,347910.0,46672800,1077.1,34373508.0,100893.9,136.0751852
Sugarcane,1999,Whole Year,Tamil Nadu,332332.0,35501817,922.8,35270395.16,89729.64,107.9448148
Sugarcane,2000,Whole Year,Tamil Nadu,317473.0,34062855,971.1,31166324.41,82542.98,108.0914815
Coconut,2002,Whole Year,Karnataka,375425.0,1525287000,860.8,35541484.75,93856.25,4165.087778
Coconut,2004,Whole Year,West Bengal,24294.0,310874400,1612.9,2632011.96,5101.74,12630.52667
Coconut,2009,Whole Year,West Bengal,28846.0,362736500,1317.2,4494783.72,4903.82,12313.48667
Sugarcane,2010,Whole Year,Tamil Nadu,315961.0,34251796,1095.2,52484281.71,75830.64,107.4126667
Coconut,2010,Whole Year,West Bengal,28933.0,364187600,1096.0,4806060.63,6943.92,12327.335
Coconut,2011,Whole Year,West Bengal,29133.0,367500000,1686.5,4880360.16,9613.89,12317.74
Sugarcane,2011,Whole Year,West Bengal,16077.0,1681444,1686.5,2693219.04,5305.41,107.9205882
Coconut,2012,Whole Year,West Bengal,29200.0,369381000,1566.0,4403360.0,9052.0,12497.47056
Coconut,2013,Whole Year,Telangana,428.0,6956712,1348.7,61841.72,115.56,16254.0
Coconut,2013,Whole Year,West Bengal,29300.0,370900000,1939.9,4233557.0,7911.0,12507.61667
Coconut,2014,Whole Year,Telangana,439.0,9265095,746.4,66271.44,144.87,21105.0
Coconut,2014,Whole Year,West Bengal,29680.0,372300000,1483.5,4480492.8,9794.4,12561.52684
Coconut,2015,Whole Year,West Bengal,29513.0,373647500,1717.0,4660397.83,9739.29,12593.58421
Coconut,2016,Whole Year,West Bengal,29625.0,375400000,1795.8,4540031.25,10368.75,12686.74
Coconut,2017,Whole Year,West Bengal,30250.0,378500000,1830.0,4762560.0,11495.0,12091.08136
Coconut,2018,Whole Year,West Bengal,30815.0,385025000,2012.6,4998193.0,10785.25,12018.40727
Coconut,2019,Whole Year,West Bengal,31300.0,390028000,1733.4,5376088.0,11581.0,11918.29136
Coconut,2002,Whole Year,Puducherry,2279.0,23956000,1434.5875,215752.93,569.75,10750.0
Potato,2009,Whole Year,Delhi,88.0,21999,528.4,13712.16,14.96,249.99
Potato,2010,Whole Year,Delhi,51.0,15862,989.5,8471.61,12.24,311.02
Potato,2011,Whole Year,Delhi,48.0,14928,641.3954545,8040.96,15.84,311.0
Coconut,2012,Whole Year,Puducherry,1564.0,20297000,1098.3,235851.2,484.84,14410.51667
Sugarcane,2012,Kharif,Puducherry,2027.0,304516,1098.3,305671.6,628.37,150.23
Sugarcane,2013,Kharif,Puducherry,2024.0,304066,1083.2,292447.76,546.48,150.23
Sugarcane,2014,Kharif,Puducherry,1921.0,316965,1330.0,289994.16,633.93,165.0
Coconut,2004,Whole Year,Goa,25160.0,123520000,2518.0,2725834.4,5283.6,4909.375
Coconut,2005,Whole Year,Goa,25312.0,125340000,3392.8,3035415.04,5315.52,4951.73
Coconut,2006,Whole Year,Goa,25468.0,126680000,2928.8,3252518.28,5602.96,4974.045
Coconut,2007,Whole Year,Goa,25545.0,127570000,3674.7,3407703.0,4087.2,4993.77
